LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WINNIPEG,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_CALGARY,TOTAL_PRECIPITATION_VANCOUVER,TOTAL_PRECIPITATION_WINNIPEG,TOTAL_PRECIPITATION_TORONTO
5/24/1965,6.1,11.7,15.3,12.2,5.3,0,18,0
5/25/1965,8.9,12.5,12.8,17,2.3,0,3.3,0
5/26/1965,10.6,13.6,4.2,23.9,0,0,8.9,1.8
5/27/1965,15,15.3,1.1,18.4,0,0,1,1
5/28/1965,14.8,12.8,6.7,10.6,0,0,0,0.5
5/29/1965,15.8,12.5,13.7,7.5,0,0.5,0,0
5/30/1965,10.3,12.8,9.8,9.2,10.2,3.6,0,0
5/31/1965,8.1,13.1,12,13.9,7.4,0,0.5,0
6/1/1965,12,14.5,16.1,9.2,0,0,0,2.3
6/2/1965,15.3,15.6,13.9,11.7,0,0,17.5,1
6/3/1965,10.3,15,18.4,10.6,1,0,12.7,0
6/4/1965,11.4,14.7,15.3,11.1,0,0,0,0
6/5/1965,14.2,15.3,15.3,14.2,0,0,0,0
6/6/1965,10.3,15.9,14.2,19.5,0,0,0,0
6/7/1965,7.5,15,15.8,21.7,0,0,0.5,0
6/8/1965,13.9,15,10.9,21.1,0,0,0.8,0
6/9/1965,18.1,15.6,10,21.2,0,0,0,0
6/10/1965,19.5,14.2,13.1,15.3,0,2.3,0,0
6/11/1965,20.6,14.2,17.3,13.9,0,9.9,0,0
6/12/1965,13.9,12.5,15.6,17.3,21.1,0,0,0
6/13/1965,11.2,13.1,18.9,12.2,0.3,0,0,0
6/14/1965,11.7,14.5,21.4,11.4,2.3,0,0,0
6/15/1965,10,15,21.1,14.5,21.8,0,0,0
6/16/1965,11.7,15.3,20.6,15.3,3.6,0,0,0
6/17/1965,11.4,18.1,20,15,23.6,0,0,0.5
6/18/1965,15,14.2,21.7,16.7,2.3,0,0,0
6/19/1965,9.2,14.2,21.7,20.9,18.8,0,0,0
6/20/1965,12.2,15.3,16.7,21.1,0,0,1.8,0.3
6/21/1965,9.2,14.8,17.2,18.6,2.5,0,2.5,0
6/22/1965,9.5,13.1,15,19.2,0,0.3,0,0
6/23/1965,16.1,17.2,14.8,20.8,0,0.5,0,18.5
6/24/1965,15.9,13.3,17.8,13.9,0,0,0,0
6/25/1965,13.6,13.1,20.8,13.9,30.5,0,3.3,0
6/26/1965,11.1,12.2,20.6,14.2,10.4,0,6.6,0
6/27/1965,10.8,14.5,20.9,18.1,11.2,0,4.3,0
6/28/1965,9.5,14.7,14.5,25.3,17,0,10.2,17.5
6/29/1965,10.3,16.7,13.1,20.6,3.6,0,0,0
6/30/1965,10.3,18.4,14.8,15.3,0,0,0,0
7/1/1965,15.8,19.5,16.4,16.4,0,0,24.9,0
7/2/1965,18.4,17.8,18.1,19.5,0,0,0,14.2
7/3/1965,19.8,18.6,21.1,18.6,0.3,0,1.3,3.6
7/4/1965,17.5,17.2,13.1,17.3,0,0,0,0
7/5/1965,19.5,16.7,13.6,17.2,0,0,0,0
7/6/1965,19.2,20,18.9,13.1,6.9,0,1.8,0
7/7/1965,18.3,18.3,18.7,13.6,7.1,0,0,13.7
7/8/1965,16.1,14.2,16.2,20.6,8.4,0,1,0
7/9/1965,14.7,13.1,12.3,20.6,6.6,0.3,0,14.2
7/10/1965,13.9,14.5,14.5,17,17.8,0,0,0
7/11/1965,12.2,14.2,16.1,16.1,5.3,0.5,0.3,0
7/12/1965,13.4,15.9,20.9,16.1,2.3,0,1.5,0
7/13/1965,14.2,17.5,17,19.4,1.5,0,5.1,0
7/14/1965,18.1,19.2,15.6,20.6,0,0.3,0,0
7/15/1965,18.6,18.4,20.6,17.5,0,0,0,0
7/16/1965,17.5,17.8,18.6,17.8,0,0,7.9,0.3
7/17/1965,18.9,16.4,20.3,18.9,0,0,2,0.5
7/18/1965,16.1,16.7,17.5,15.9,0,0,0,15.2
7/19/1965,14.5,13.3,18.9,13.4,0,2.3,17.8,0
7/20/1965,16.1,15.9,22,13.6,0,2.5,8.9,0
7/21/1965,14.5,15.6,23.3,13.9,40.6,0,3.6,0
7/22/1965,13.6,16.4,23.1,18.1,2.5,0,3.6,1.8
7/23/1965,16.1,17.2,20.3,20.6,0,0,0,0
7/24/1965,15.3,19.2,18.6,23.4,0,0,0,0
7/25/1965,18.1,20.9,17,19.5,0,0,0,0
7/26/1965,20,21.4,16.7,18.6,0,0,0,0
7/27/1965,20.9,17.8,17.2,19.2,0,0,0,0
7/28/1965,20,18.6,17.5,15.3,5.6,0,0,0
7/29/1965,16.4,20.6,18.6,15,12.7,0,0.3,0
7/30/1965,17.5,21.1,16.1,14.5,0,0,0.3,0
7/31/1965,19.5,21.9,19.5,15.9,0,0,0,0
8/1/1965,20.3,22.8,18.1,17.5,0,0,0,0
8/2/1965,22,19.8,20.3,16.2,0,0,0,36.8
8/3/1965,20.8,15.8,19.7,16.4,1,4.8,0,0
8/4/1965,16.7,14.2,23.9,15.6,50.8,10.2,6.1,0
8/5/1965,16.1,16.7,21.4,16.7,3.3,0,8.9,0
8/6/1965,16.2,17.8,17.2,22.8,0.5,0,0,0
8/7/1965,17.8,19.5,15,23.4,0,0,0,8.1
8/8/1965,19.7,16.7,19.7,21.7,0,2.5,0,8.6
8/9/1965,20,18.9,15,22.8,0,0,0,2.8
8/10/1965,19.8,20.6,19.2,14.2,0,0,0,1.8
8/11/1965,21.1,18.9,23.3,15.3,0,0.5,0,0
8/12/1965,21.4,16.7,23.9,20.8,0,11.2,0,0
8/13/1965,16.2,18.1,28.7,22.5,0,1.8,0.3,0
8/14/1965,14.2,16.7,18.3,22,0,0,0,0
8/15/1965,16.7,17.3,19.2,24.2,0,0,0,0
8/16/1965,13.6,17.5,21.7,20.9,2.3,0,0.5,0
8/17/1965,17,19.2,13.9,21.7,0,0,0,0
8/18/1965,18.6,21.4,12.8,23.1,0.5,0,0.8,1.3
8/19/1965,17.8,17.5,14.2,16.7,0,0,0,3.3
8/20/1965,16.7,17.8,13.7,15.6,0,13.7,0,0
8/21/1965,16.7,17,12.8,13.4,0,0,0,0
8/22/1965,18.1,18.4,14.8,18.6,0,0,0,0
8/23/1965,15.6,15.8,19.2,16.1,0,13.2,0,0
8/24/1965,16.4,15,20,16.7,0.5,1.8,0,0
8/25/1965,16.4,17.2,18.9,18.6,0.8,1.3,0,5.3
8/26/1965,13.9,17.8,13.6,21.1,3.3,0.3,5.8,2.5
8/27/1965,16.1,15,10,20.9,0,0.3,0,0.3
8/28/1965,7.3,12.8,9.2,12.3,3,0,0,0
8/29/1965,8.4,12.3,10.9,11.1,2.3,0,8.6,0.5
8/30/1965,9.8,13.1,15.8,9.5,1.5,0,1.5,0
8/31/1965,13.7,15.3,11.7,12.5,0,0,2,3.6
9/1/1965,10.9,15,13.7,15.6,2.3,0,0,6.1
9/2/1965,9.5,13.7,16.7,15.6,7.4,0,0,0
9/3/1965,5.3,13.4,12,14.2,21.3,0,3,0
9/4/1965,6.4,12.2,10.3,16.4,0,0,19.8,0
9/5/1965,4.8,13.9,8.1,17.2,0,0,0,8.4
9/6/1965,6.7,13.6,8.4,15.9,0,0,0.3,0
9/7/1965,11.1,13.6,11.7,17.3,0,0,0,0
9/8/1965,11.1,14.5,13.6,16.2,1.5,0,3,0.5
9/9/1965,4.5,13.6,8.9,15.6,1,0,3.8,14
9/10/1965,6.4,13.6,7.5,16.7,2.3,0,0,0
9/11/1965,3.1,13.1,8.3,11.7,9.1,0,0,0
9/12/1965,4.8,14.4,8.3,12,0,0,0,0
9/13/1965,6.2,12.8,8.4,15.6,0,2,0,0
9/14/1965,1.9,16.1,5.3,18.3,6.1,7.4,4.8,0
9/15/1965,-2,12.2,8.4,19.5,2.8,0.3,0.3,0
9/16/1965,-0.8,9.8,8.9,11.4,0,0,11.7,0
9/17/1965,2.3,11.7,8.1,12.5,0,0,2,6.6
9/18/1965,4.4,11.4,8.9,19.4,7.9,0,0,4.6
9/19/1965,6.4,12,8.6,21.4,4.8,0,0,0
9/20/1965,7.5,11.4,10,25,0.3,0,0,0
9/21/1965,7.5,14.8,7.8,25.9,0.5,0,0,0
9/22/1965,2,12.8,8.1,25,0.3,0,6.9,6.6
9/23/1965,9.5,12.5,7.2,18.6,0,0,0,5.3
9/24/1965,12.5,12.5,5,9.8,0,0,1.8,0
9/25/1965,-0.9,12.5,-0.9,10.3,9.7,0,0,0
9/26/1965,-4.7,12.8,0.3,5.3,4.3,5.3,0,0
9/27/1965,-3.4,11.7,4.2,2.5,0,0,0,0
9/28/1965,3.4,10,2.5,7,0,0,0,0.3
9/29/1965,8.1,11.7,3.6,10,0,0,7.1,6.1
9/30/1965,9.2,14.7,7.8,13.3,0,0.3,0.3,8.1
10/1/1965,10.8,13.6,12.3,14.5,0,0,0,1.3
10/2/1965,5.6,10.6,4.2,11.4,0,0,0,0
10/3/1965,10.9,12,1.7,8.6,0,0,0,0
10/4/1965,12,13.4,5.9,1.7,0,7.4,0,0
10/5/1965,11.7,12.8,11.1,2,0,10.2,0,0
10/6/1965,8.3,15,12.8,7.5,4.6,5.8,0,0
10/7/1965,9.2,13.4,10.9,7.3,0,0,0.8,22.6
10/8/1965,12.5,13.6,6.2,12.5,0,1.3,0,9.9
10/9/1965,4.2,10.3,7.5,10.6,4.3,0,0,2
10/10/1965,2.8,7.8,8.1,8.7,0,0,0,0
10/11/1965,6.7,10.3,3.9,10.6,0,0,0,0
10/12/1965,12.3,9.7,1.4,5.3,0,17.3,0,0.8
10/13/1965,7.5,12.5,4.8,5.9,0,0.8,4.3,0
10/14/1965,10.6,12.8,6.7,5.3,0,15,0,0.3
10/15/1965,7.5,10,9.8,10.9,0,0.3,0,2.5
10/16/1965,3.4,8.1,12.5,6.4,0,2.8,0,0
10/17/1965,5.3,7.8,12,5.6,0,5.6,0,0
10/18/1965,5.6,9.8,8.9,12.5,0,8.1,0,0
10/19/1965,2.3,8.6,8.1,12,0,0,8.1,0
10/20/1965,7.5,11.9,5.8,10.3,0,10.7,0,0
10/21/1965,14.5,14.2,6.7,10.3,0,0,0,46
10/22/1965,12.5,8.9,9.2,6.4,0,0,0,13.5
10/23/1965,13.1,10.3,2.3,7.3,0,0,0,2.3
10/24/1965,10.3,12.5,9.5,3.6,0,0,0,0
10/25/1965,9.2,9.2,5.6,5.6,0,0,0,0
10/26/1965,8.9,9.5,5.6,5.6,0,0,0,0
10/27/1965,9.5,9.5,1.1,4.7,0,7.6,0,0
10/28/1965,10.9,11.1,2.2,-2.5,0,10.9,0,1.3
10/29/1965,5.3,12.2,11.1,-0.6,0,14.2,0,0
10/30/1965,6.1,8.4,7.8,8.9,2.5,0,1.3,0
10/31/1965,4.5,9.5,4.2,7.5,0,8.9,0,2.3
11/1/1965,9.8,12,3.4,0.6,0,26.2,0,0.3
11/2/1965,4.7,9.2,6.7,-0.3,0,3,0,0
11/3/1965,-2,9.5,3.3,8.3,0,20.1,0,0
11/4/1965,5.3,9.2,-0.3,6.1,0,5.6,0,0
11/5/1965,3.4,8.1,-1.1,0.6,0,0,0,0
11/6/1965,-3.9,9.2,-4.2,11.4,0,0,0,0
11/7/1965,-4.8,10,-4.2,7,0,0.8,3.6,2.8
11/8/1965,-3.4,8.7,-6.7,7.2,0,3.6,0,13.2
11/9/1965,-2.8,9.5,-9.5,-0.9,12.7,0.5,0,0
11/10/1965,-3.9,7.8,-11.1,-0.3,3.6,8.4,0,0
11/11/1965,-11.4,7.5,-3.1,1.1,1.3,0,2.5,0
11/12/1965,-9.5,3.9,-5.6,3.1,0,0,0,2.8
11/13/1965,-10.6,5,-13.6,5.6,0,3.8,0,4.1
11/14/1965,-8.3,8.1,-9.8,-0.9,6.9,15.7,0,0
11/15/1965,-9.2,8.6,-3.9,0,1.8,0,6.4,6.6
11/16/1965,-8.9,8.7,-11.4,5.6,0,1.8,4.6,18
11/17/1965,-7.3,5.9,-13.6,0,0,0,0,1.8
11/18/1965,-12.3,8.4,-11.4,0.6,0.5,5.8,0,0
11/19/1965,-4.8,10.3,-13.9,2.8,0,6.1,1.5,0
11/20/1965,0.3,8.9,-8.9,2.8,0,1.3,2,4.3
11/21/1965,-4.8,7,-3.6,4.2,0,2.5,0,0
11/22/1965,-11.1,5,-8.6,4.2,0,1.3,1,0
11/23/1965,-10.6,1.1,-14.2,3.4,1,0,0,7.1
11/24/1965,-17.5,3.1,-7.5,3.4,1.8,1.3,7.4,0.3
11/25/1965,-20,2.2,-12.5,3.4,1.5,0,0.3,1.3
11/26/1965,-23.4,3.7,-7.8,3.4,0,8.6,5.6,9.1
11/27/1965,-12,5.6,-8.1,5,0,0,9.4,8.1
11/28/1965,0.6,7,-13.4,-3.1,0,2.5,0,1.3
11/29/1965,3.6,5.6,-17,-2.2,0,0,0,0
11/30/1965,2.2,7.5,-9.2,-2.5,0,4.6,0,0
12/1/1965,-1.1,9.2,-7.8,0.9,0,14,0,0
12/2/1965,-0.3,6.9,-2,1.4,0,6.6,0,0
12/3/1965,2.8,9.2,-5,2.2,0,13.7,0,2.3
12/4/1965,1.1,7.3,-1.1,1.4,0,1,0,0.5
12/5/1965,-2.2,8.1,-5.6,0.3,0,10.9,0,0.8
12/6/1965,-0.3,7.8,-8.9,-3.3,0,12.4,0,0.3
12/7/1965,-0.9,7.8,-4.5,-3.9,0,5.6,0,0
12/8/1965,-5,7.2,-3.6,0.3,0,0,0,0.3
12/9/1965,-6.4,6.7,-9.4,2,0,4.8,0,0
12/10/1965,-5.3,4.8,-8.4,1.7,0,3.8,0,0
12/11/1965,-5.3,3.4,-5,-0.8,0,0.5,0,5.3
12/12/1965,-7,3.4,-4.2,0,0.5,0,0.8,14.2
12/13/1965,-10.3,1.4,-5.8,5.6,0.8,0.5,4.8,2.5
12/14/1965,-12,-0.6,-8.4,2.8,0,0,0.3,0
12/15/1965,-8.6,-1.7,-12.2,2,0,0,0,0
12/16/1965,-8.9,-1.4,-17,-0.9,0,0,0,0.8
12/17/1965,-7.8,1.4,-13.1,-1.9,0,0,0.8,1.5
12/18/1965,-1.7,3.9,-13.3,-1.4,0,7.6,0,0
12/19/1965,3.6,6.9,-9.7,-7.3,0,0.3,1.5,0.3
12/20/1965,2.8,5.3,-5.8,-7,0,5.8,0,0
12/21/1965,-6.4,1.7,-4.2,-5.3,0,0,0,0
12/22/1965,-8.4,0,-4.5,-2.5,0,0,0,0
12/23/1965,-10,2,-10.3,1.7,0,9.9,0,3.8
12/24/1965,-13.9,1.1,-19.2,5.8,0.5,7.9,0,4.6
12/25/1965,-24.5,0.6,-13.9,-3.1,0,1.5,0,25.9
12/26/1965,-27.8,-0.3,-13.9,-12.8,0,1.5,4.3,0
12/27/1965,-26.7,-0.6,-24.7,-8.1,1.3,24.6,0,0.3
12/28/1965,-27,-2.2,-15.8,-3.1,0.3,3.6,0,0
12/29/1965,-25.3,-0.6,-10.3,0.3,4.3,5.8,0,0
12/30/1965,-28.3,1.1,-20.6,5.3,0,0.8,11.4,0
12/31/1965,-28.1,-0.3,-21.4,9.2,0,1,14.5,0.5
1/1/1966,-26.4,0.3,-22.2,2.8,0,9.7,0,0
1/2/1966,-27.8,-0.3,-28.1,0,0.3,10.4,0,2.5
1/3/1966,-30.6,-2.2,-24.2,0.9,0.5,12.2,0.8,1
1/4/1966,-33.4,-3.6,-25.3,0,1,6.1,1.8,0
1/5/1966,-31.7,-2,-25.6,-0.3,0.3,10.4,0,0
1/6/1966,-26.4,5,-33.1,1.7,0,6.6,0.8,0
1/7/1966,-15,4.5,-34.8,-8.4,0,11.9,0,8.4
1/8/1966,-15.6,5.6,-22.8,-17,0.8,3,0.3,0
1/9/1966,-16.7,1.4,-20,-9.8,0,2.5,1.5,0
1/10/1966,-12.2,4.2,-29.2,-3.1,0,16.8,0,0
1/11/1966,-4.2,5.3,-22.5,-13.9,0,6.6,1.5,0
1/12/1966,-10.8,5.6,-13.6,-15.6,0,19.3,0.8,0
1/13/1966,-5,8.4,-23.9,-6.7,0,17.3,0,4.1
1/14/1966,-1.4,5.3,-27.2,-7.5,0.3,0,0,0
1/15/1966,-8.9,2.8,-25,-15.6,0,0,0.3,0
1/16/1966,-3.9,-0.3,-28.1,-15.6,0,0,0,0
1/17/1966,-1.4,2.2,-23.9,-7.3,0,0,0,0
1/18/1966,-9.8,2.5,-17.3,-4.2,2.3,0,0,0.3
1/19/1966,-26.1,0.8,-17,-4.5,0.5,0,0.8,0
1/20/1966,-24.5,-0.6,-27.8,-3.1,0,2.8,0,0
1/21/1966,-20.6,2.8,-32.8,-4.8,0.3,0.5,0,0
1/22/1966,-25,0.9,-31.4,-5,0.5,0.5,0,6.1
1/23/1966,-25,1.2,-35.6,-5.6,3,0.5,0,32.5
1/24/1966,-24.8,-2.2,-34.2,-10,0,0.8,0,0
1/25/1966,-13.9,2.3,-26.4,-19.5,0.3,0.5,0,0
1/26/1966,-25.3,5.6,-26.7,-19.7,0,0.3,1,0
1/27/1966,-27.5,6.7,-35.9,-12.8,0.3,5.6,0,2.3
1/28/1966,-26.1,7.5,-37.5,-16.2,0,0.8,0,0
1/29/1966,-12,8.1,-31.2,-14.4,0,0.8,0,0
1/30/1966,-11.4,6.4,-24.5,-11.4,0,7.4,0,3.6
1/31/1966,-12.8,5,-19.2,-6.4,0,6.9,0,0
2/1/1966,-5.6,1.7,-18.9,-5.6,0,0,0,0
2/2/1966,-13.1,1.7,-18.3,-5.8,0.8,0,0,0
2/3/1966,-10,2.8,-23.9,-5.9,0,0,0,1.8
2/4/1966,0,6.1,-20.3,-6.4,0,3.8,0,0.5
2/5/1966,2.8,7.3,-12.8,-13.6,0,1.8,0,0
2/6/1966,-2.5,5.3,-11.4,-11.7,0,7.1,0,0
2/7/1966,-4.5,4.7,-15.3,-7.5,0,0.8,0,0
2/8/1966,-9.7,4.2,-4.2,-5.9,0,7.9,1.8,0
2/9/1966,-9.5,3.1,-7.5,1.4,0,0,5.8,0
2/10/1966,-6.4,0.6,-13.9,3.6,0,2.8,0,5.3
2/11/1966,-1.4,5,-17,2.3,0.5,9.1,0,0.8
2/12/1966,-8.6,1.7,-16.2,0,0,0,0.5,0
2/13/1966,-8.1,2.5,-26.1,-0.9,1.5,0,0,4.8
2/14/1966,-15.3,2.2,-23.9,-4.4,0.3,0,1.5,0
2/15/1966,-12.5,0.6,-28.1,-5.3,0,0,0,0.3
2/16/1966,-7,2.8,-29.2,-3.9,0,1.3,0,2.5
2/17/1966,-18.1,5,-37.5,-9.2,1.8,0,0,0
2/18/1966,-22.5,5.8,-36.7,-12.8,0,0,0,0.8
2/19/1966,-20.6,4.5,-33.6,-17.8,0,2,0,0
2/20/1966,-13.1,7.5,-32.5,-14.4,0,6.6,0,2
2/21/1966,-3.9,5.9,-26.7,-10,0,0,0,0.5
2/22/1966,-2.8,8.6,-21.1,-5.3,0,0,0,0
2/23/1966,1.1,7.8,-12.5,-5.3,0,0.5,0,0
2/24/1966,2,6.1,-11.4,-3.1,0,0,0,0
2/25/1966,-3.4,6.4,-15.8,-0.6,0,3.3,0,0
2/26/1966,0.6,5,-7.8,-0.9,0,3.3,0,0
2/27/1966,-2.2,3.3,-2.5,-2.5,0.5,0,0,0
2/28/1966,-7,2.8,-3.9,1.7,0,0.3,0.8,11.2
3/1/1966,-10.9,0.3,-7.8,2,0.8,10.9,0,1.8
3/2/1966,-15.3,1.1,-14.5,2.5,2.3,0,0,0
3/3/1966,-14.7,1.7,-11.4,1.7,0,0,0,0
3/4/1966,-12.8,2,-10.6,3.1,0,4.8,35.6,9.9
3/5/1966,-9.8,5,-14.5,0.8,0,5.3,0,12.7
3/6/1966,-7.5,6.7,-20,-1.7,0,3,0,0
3/7/1966,-3.9,5.3,-15.9,-6.9,0,4.3,0,0
3/8/1966,-2.2,6.7,-2,-5.9,0,18.3,3.3,0
3/9/1966,4.2,6.7,-5.3,0.6,0,0.8,0,0
3/10/1966,2.2,4.5,0,5,0,0,0,1.8
3/11/1966,-1.7,7,-0.6,-1.4,0,0,0,4.3
3/12/1966,-2,8.4,-2.5,-0.8,0,1.5,0,5.1
3/13/1966,5.9,9.5,-3.9,2.5,0,5.8,0,0
3/14/1966,4.5,9.2,-2,4.8,0,0.8,0,0
3/15/1966,5.3,7.2,0,-1.7,0,4.8,0,0
3/16/1966,2.2,6.2,2,-1.7,0,0,0,0
3/17/1966,-1.4,4.2,1.4,2.8,0,1.3,0.3,0
3/18/1966,1.1,5.6,-2.8,9.2,0,14,0,3.3
3/19/1966,3.9,4.5,-6.1,5.9,0,4.1,0,1.8
3/20/1966,-1.4,3.3,1.2,0.6,0.3,1,0,0
3/21/1966,-6.1,3.9,-1.7,2.3,0.5,0,0,0.5
3/22/1966,-6.7,3.9,-9.7,4.8,0,0,0,10.4
3/23/1966,-2.2,6.1,-15.9,7.5,0,0,0.3,0.8
3/24/1966,1.4,5.9,-15.3,2.2,0,0,0,1.8
3/25/1966,1.9,6.7,-7,-3.7,0,0,1.3,0
3/26/1966,6.4,7.8,-9.2,-4.5,0,0,0,0
3/27/1966,8.1,8.1,-8.4,-6.1,0,0,0,0
3/28/1966,7.2,10.9,0.6,-4.2,0,0,0,0
3/29/1966,11.7,12.5,2,0,0,1,0,0.3
3/30/1966,9.7,11.7,3.6,1.7,1,14,0,1.3
3/31/1966,5.6,8.6,4.2,-0.6,0,0,0.3,0
4/1/1966,7.8,8.6,3.1,0.8,0,0.8,0,10.7
4/2/1966,2.8,6.2,2.2,0.3,0,0,0,0
4/3/1966,3.1,7.3,-0.6,1.4,0,0,0,0
4/4/1966,2.8,8.7,-0.3,0.6,0,0,0,0
4/5/1966,8.1,9.7,1.4,2.5,0,0,0,0
4/6/1966,3.9,9.5,-0.9,2.2,0,0,0,0.5
4/7/1966,0,10.3,-1.4,2.8,0,0,3.3,7.6
4/8/1966,4.2,8.1,-3.1,2,0,0,0.5,0
4/9/1966,5.6,11.1,-3.9,1.1,0,1,0,5.1
4/10/1966,-2.5,8.9,-0.9,3.9,0,2.8,0,0
4/11/1966,0.3,5.3,5,2,0,0.5,0,0
4/12/1966,3.1,5.9,3.9,2.8,0.8,0,0,0
4/13/1966,-1.7,7,4.8,5,0,0,2,0
4/14/1966,7,8.7,5.3,5.6,0,12.7,0,0
4/15/1966,4.2,6.7,6.7,5.3,1.3,0,0,0
4/16/1966,-1.1,7.3,10,6.4,0,0,0,0
4/17/1966,-4.8,8.1,2.5,5.8,0,0,3,0
4/18/1966,-6.4,7.3,-3.1,6.7,2,0,0,0
4/19/1966,-5,8.4,-2.2,10.6,0.3,0,0,2.3
4/20/1966,0.3,10.6,-2,13.1,3,4.8,0,3.6
4/21/1966,3.9,9.5,0.3,8.9,0.5,0.5,9.9,3
4/22/1966,7.8,10.8,5,4.5,0,0,0.3,0
4/23/1966,7.2,8.6,11.1,5.9,0.3,0,5.8,3.3
4/24/1966,4.2,7.8,4.8,10.9,0,1.5,0,1.5
4/25/1966,2.2,8.9,0.3,9.2,17.5,0.3,0,0
4/26/1966,-2.8,7.5,0.6,0.3,15.5,0,0.3,3.6
4/27/1966,-9.8,8.9,-0.9,-0.3,1.5,0,20.8,2.8
4/28/1966,-10.3,8.3,-1.7,3.1,0,0,1,7.6
4/29/1966,-11.1,8.3,-3.4,6.4,0,0,0,0
4/30/1966,-0.8,10.8,-5.8,8.1,0,1,0,1.3
5/1/1966,2.2,10.3,-4.8,4.2,0,0,2.5,0
5/2/1966,4.5,12,1.4,2.3,0,0,0,0
5/3/1966,12,12,2.5,4.2,0,0,0,1.3
5/4/1966,10.9,11.4,12,5.6,0,0,0,0
5/5/1966,12.5,14.2,9.8,11.4,0,0,0,0
5/6/1966,14.5,12.2,1.7,5.3,0,16.5,0,0.8
5/7/1966,11.4,12.8,3.4,2.8,6.1,0.3,0,0
5/8/1966,9.7,12.8,-0.3,3.4,0,0,0,0
5/9/1966,13.6,13.4,1.4,2,0,0,0,0
5/10/1966,8.6,12.3,4.5,3.4,21.3,0,0,0
5/11/1966,4.7,12.2,5.6,2.5,0,0,0,0
5/12/1966,4.7,12.2,7.3,3.1,0,4.8,0,18.3
5/13/1966,4.5,10.6,7.5,7.3,1.5,0,0,0
5/14/1966,5.6,7.8,7.8,11.1,0,0,0,0
5/15/1966,8.4,8.7,7.8,9.2,0,6.6,17.5,0
5/16/1966,7,10.3,10.6,11.1,2.5,0,0,4.8
5/17/1966,7,8.9,11.4,13.9,0.3,0,3.3,0
5/18/1966,8.7,10.3,8.9,11.7,0,0,0.3,7.6
5/19/1966,12.2,13.6,8.6,13.9,0,0,2.5,5.8
5/20/1966,14.8,13.3,10.3,13.3,0,0,0,6.4
5/21/1966,12,10.8,19.2,12.5,0.3,2.3,0,0
5/22/1966,6.7,11.1,22.2,14.2,0,0,0.5,0
5/23/1966,9.5,12,13.9,14.2,0,0,9.7,0
5/24/1966,11.7,12,14.2,18.1,0,0,1.8,2.3
5/25/1966,15,16.4,17.3,16.7,0,0,0,0
5/26/1966,17.8,11.4,14.5,18.9,0,5.3,0,0
5/27/1966,15.6,9.2,8.7,18.4,0,0,0,0
5/28/1966,13.4,10,9.2,11.4,4.3,0,0,0
5/29/1966,16.7,12,9.8,7.8,0,0,0,0
5/30/1966,10.3,10.3,11.7,8.9,20.3,0,0,0
5/31/1966,9.7,10.3,17,7.8,1.8,2,0,0
6/1/1966,6.2,12,20,8.6,24.1,8.9,2.3,0
6/2/1966,9.2,10.6,15.6,10.6,0,1.3,0,0
6/3/1966,10,11.1,8.7,16.7,5.8,0,0.3,0
6/4/1966,7.8,12.3,12.8,20.9,13.7,0.3,0,0
6/5/1966,7.5,14.5,12.8,22.5,2.8,0,5.3,0
6/6/1966,9.2,15,14.4,22.8,0,0,0,0.3
6/7/1966,10.8,16.7,8.1,20,0.8,0.5,0.3,0
6/8/1966,12.8,13.9,8.9,15.6,0,0,0,0
6/9/1966,10.8,14.4,11.4,10.6,4.8,0,0,31.5
6/10/1966,11.4,14.7,18.1,13.9,14.2,3.3,0.8,3
6/11/1966,9.7,12.5,17.2,12,4.8,0.3,4.3,0
6/12/1966,12.5,12.8,13.6,13.9,0,0,0.8,0
6/13/1966,11.1,11.7,11.4,16.4,0,5.3,4.3,15.7
6/14/1966,10.9,15.6,11.7,17,2,0,0,15.5
6/15/1966,12.5,17,14.2,16.4,0.3,0,0,3.3
6/16/1966,13.3,18.1,17.8,14.5,0,0.3,0,3.3
6/17/1966,17,15.9,18.4,15,0,0,0,0
6/18/1966,14.5,15.3,22,14.2,0,0.8,0.5,0
6/19/1966,15.6,15.6,22.5,18.9,0,0.5,0,0
6/20/1966,12,13.4,22.3,20,0.3,0.8,0,0
6/21/1966,11.7,13.6,22.8,17.5,0,7.1,4.8,0
6/22/1966,14.8,13.4,22.8,17.8,0,0.8,0,0
6/23/1966,10.9,12.5,19.5,21.9,0,0,1.8,0
6/24/1966,8.9,14.4,19.5,23.6,5.6,0.3,8.4,0
6/25/1966,12.5,14.2,18.1,23.9,0,0,0.5,0
6/26/1966,14.8,14.8,18.1,25.9,0,2,0,0
6/27/1966,14.5,14.2,21.7,20.6,0,17,0,0
6/28/1966,16.7,15,25.8,20,0,2.5,0,0
6/29/1966,13.6,11.7,27.5,22,0,0,0,0
6/30/1966,12.8,12.3,25.9,20.6,0,0,1.5,0
7/1/1966,13.1,12.8,21.7,22.5,6.1,1.3,17.8,0
7/2/1966,10.8,12.3,19.2,25,54.9,7.9,31.8,0
7/3/1966,14.2,12.8,21.4,26.1,15.2,20.1,0,0
7/4/1966,15,15,21.2,20.3,0.3,0.3,0,0.5
7/5/1966,14.2,12.2,18.4,19.2,0,7.9,3.8,0
